tile_row,tile_column,x1,y1,x2,y2,mean_absolute_residual,residual_standard_deviation
8,5,320,512,384,576,2.805702,4.959315
8,6,384,512,448,576,3.45015,4.430745
8,7,448,512,512,576,3.197437,4.102057
8,8,512,512,576,576,2.851103,5.439062
8,9,576,512,640,576,2.101802,5.416203
8,10,640,512,704,576,1.027379,1.991794
8,11,704,512,768,576,0.588441,0.737959
8,12,768,512,832,576,0.584283,0.729343
8,13,832,512,896,576,0.531332,0.668619
8,14,896,512,928,576,0.504574,0.636042
9,0,0,576,64,640,0.50638,0.638543
9,1,64,576,128,640,0.527111,0.662117
9,2,128,576,192,640,0.593128,0.787093
9,3,192,576,256,640,0.8606,1.408714
9,4,256,576,320,640,0.995277,1.693984
9,5,320,576,384,640,3.439932,7.173242
9,6,384,576,448,640,2.003925,2.637959
9,7,448,576,512,640,2.406111,3.393804
9,8,512,576,576,640,3.252481,8.020485
9,9,576,576,640,640,1.245747,1.568837
9,10,640,576,704,640,1.270363,1.721338
9,11,704,576,768,640,1.266058,1.931686
9,12,768,576,832,640,0.890424,1.538093
9,13,832,576,896,640,0.526847,0.661431
9,14,896,576,928,640,0.514502,0.641383
10,0,0,640,64,704,0.514508,0.655669
10,1,64,640,128,704,0.58594,0.748545
10,2,128,640,192,704,0.85712,1.287999
10,3,192,640,256,704,0.618022,0.776883
10,4,256,640,320,704,0.734651,0.924011
10,5,320,640,384,704,3.020968,6.307414
10,6,384,640,448,704,1.730713,2.982016
10,7,448,640,512,704,1.893594,4.808423
10,8,512,640,576,704,2.603965,6.267387
10,9,576,640,640,704,1.624982,2.055179
10,10,640,640,704,704,1.454595,1.823232
10,11,704,640,768,704,1.44372,1.799665
10,12,768,640,832,704,1.443377,1.860535
10,13,832,640,896,704,1.381113,1.953254
10,14,896,640,928,704,0.616158,0.940293
11,0,0,704,64,768,0.532132,0.668007
11,1,64,704,128,768,0.742868,1.086261
11,2,128,704,192,768,0.637097,0.8041
11,3,192,704,256,768,0.680882,0.856657
11,4,256,704,320,768,1.419106,3.149325
11,5,320,704,384,768,0.741343,1.839981
11,6,384,704,448,768,0.512669,0.673342
11,7,448,704,512,768,2.626991,7.635952
11,8,512,704,576,768,1.933352,2.633172
11,9,576,704,640,768,1.899709,2.498516
11,10,640,704,704,768,1.683311,2.088897
11,11,704,704,768,768,1.776717,2.219634
11,12,768,704,832,768,1.917328,2.405675
11,13,832,704,896,768,1.713171,2.154653
11,14,896,704,928,768,1.313829,1.959055
12,0,0,768,64,832,0.523272,0.660521
12,1,64,768,128,832,0.718811,1.039836
12,2,128,768,192,832,0.677106,0.858414
12,3,192,768,256,832,0.781337,0.97767
12,4,256,768,320,832,1.706397,3.88885
12,5,320,768,384,832,0.507989,0.684045
12,6,384,768,448,832,0.702018,1.284509
12,7,448,768,512,832,3.224433,7.818638
12,8,512,768,576,832,1.929298,2.396211
12,9,576,768,640,832,1.833427,2.313225
12,10,640,768,704,832,1.910648,2.345634
12,11,704,768,768,832,2.008993,2.491546
12,12,768,768,832,832,1.921789,2.382404
12,13,832,768,896,832,1.594497,1.985164
12,14,896,768,928,832,1.185228,1.859219
13,0,0,832,64,896,0.508593,0.636813
13,1,64,832,128,896,0.694301,0.958821
13,2,128,832,192,896,0.740204,0.937238
13,3,192,832,256,896,0.855868,1.079853
13,4,256,832,320,896,1.741012,4.180986
13,5,320,832,384,896,0.435969,0.565752
13,6,384,832,448,896,2.432596,7.640306
13,7,448,832,512,896,2.00467,2.771181
13,8,512,832,576,896,1.938198,2.454366
13,9,576,832,640,896,1.882422,2.342237
13,10,640,832,704,896,2.128467,2.626551
13,11,704,832,768,896,2.00356,2.481463
13,12,768,832,832,896,1.895563,2.342699
13,13,832,832,896,896,1.62499,2.036359
13,14,896,832,928,896,1.008511,1.286193
14,0,0,896,64,960,0.504616,0.636859
14,1,64,896,128,960,0.666858,0.881813
14,2,128,896,192,960,0.766958,0.967403
14,3,192,896,256,960,0.935417,1.171196
14,4,256,896,320,960,1.834207,4.631299
14,5,320,896,384,960,0.71274,1.267198
14,6,384,896,448,960,3.186318,8.136776
14,7,448,896,512,960,2.021384,2.533472
14,8,512,896,576,960,1.960568,2.42083
14,9,576,896,640,960,2.066539,2.561833
14,10,640,896,704,960,2.058626,2.550167
14,11,704,896,768,960,1.83948,2.314434
14,12,768,896,832,960,1.839402,2.282305
14,13,832,896,896,960,1.651087,2.035634
14,14,896,896,928,960,1.202539,1.49858
15,0,0,960,64,1024,0.526108,0.659302
15,1,64,960,128,1024,0.603131,0.76975
15,2,128,960,192,1024,0.757874,0.968928
15,3,192,960,256,1024,0.989754,1.241724
15,4,256,960,320,1024,1.783658,4.288015
15,5,320,960,384,1024,1.323417,5.086426
15,6,384,960,448,1024,2.807723,6.444417
15,7,448,960,512,1024,2.150823,2.714654
15,8,512,960,576,1024,2.118445,2.681862
15,9,576,960,640,1024,2.006945,2.572983
15,10,640,960,704,1024,1.703277,2.222135
15,11,704,960,768,1024,1.753785,2.235108
15,12,768,960,832,1024,1.860564,2.300959
15,13,832,960,896,1024,1.57436,1.946261
15,14,896,960,928,1024,1.205656,1.510034
16,0,0,1024,64,1088,0.535213,0.683917
16,1,64,1024,128,1088,0.560589,0.707004
16,2,128,1024,192,1088,0.675332,0.858984
16,3,192,1024,256,1088,1.021858,1.275401
16,4,256,1024,320,1088,2.044078,5.079935
16,5,320,1024,384,1088,2.665828,8.236952
16,6,384,1024,448,1088,1.786181,2.214363
16,7,448,1024,512,1088,2.041366,2.541433
16,8,512,1024,576,1088,1.845711,2.290588
16,9,576,1024,640,1088,1.705998,2.116112
16,10,640,1024,704,1088,1.430024,1.787097
16,11,704,1024,768,1088,1.663288,2.140511
16,12,768,1024,832,1088,1.898997,2.355921
16,13,832,1024,896,1088,1.521633,1.893951
16,14,896,1024,928,1088,1.201881,1.509457
17,0,0,1088,64,1120,0.514734,0.657497
17,1,64,1088,128,1120,0.544481,0.687489
17,2,128,1088,192,1120,0.605633,0.772699
17,3,192,1088,256,1120,0.969698,1.224219
17,4,256,1088,320,1120,2.224798,5.500659
17,5,320,1088,384,1120,3.509638,8.810065
17,6,384,1088,448,1120,1.737858,2.159602
17,7,448,1088,512,1120,1.882393,2.316996
17,8,512,1088,576,1120,1.663528,2.076925
17,9,576,1088,640,1120,1.441387,1.777594
17,10,640,1088,704,1120,1.159914,1.47155
17,11,704,1088,768,1120,1.516497,1.95633
17,12,768,1088,832,1120,1.747698,2.15747
17,13,832,1088,896,1120,1.437325,1.780513
17,14,896,1088,928,1120,1.134243,1.421435
