radius,normalised_radius,mean_power,median_power,pixel_count
145,0.19945,59322876.0,22627008.0,936
146,0.200825,55235404.0,21612764.0,908
147,0.202201,54687988.0,21645716.0,912
148,0.203576,63138588.0,24229712.0,952
149,0.204952,57782288.0,24337400.0,944
150,0.206327,52341872.0,22697988.0,948
151,0.207703,52690384.0,23555758.0,920
152,0.209078,51833488.0,22812308.0,976
153,0.210454,52155232.0,21666916.0,948
154,0.211829,50578180.0,20283664.0,1000
155,0.213205,51280436.0,20484908.0,960
156,0.21458,50946972.0,23461296.0,976
157,0.215956,47256560.0,20697116.0,1020
158,0.217331,46905848.0,19313004.0,960
159,0.218707,44646044.0,18516034.0,1000
160,0.220083,46339844.0,19362612.0,1004
161,0.221458,41503936.0,18649232.0,1056
162,0.222834,38021448.0,17228814.0,1024
163,0.224209,40564940.0,20393260.0,996
164,0.225585,36231360.0,16378310.0,1040
165,0.22696,38125140.0,15104175.0,1032
166,0.228336,37583144.0,17408260.0,1080
167,0.229711,36835688.0,18361220.0,1028
168,0.231087,33127070.0,15495322.0,1024
169,0.232462,34987732.0,14333132.0,1096
170,0.233838,33934012.0,15795107.0,1076
171,0.235213,32763380.0,14569817.0,1080
172,0.236589,33748852.0,16264762.0,1064
173,0.237964,31067938.0,14220081.0,1112
174,0.23934,27586800.0,12828763.0,1108
175,0.240715,30988064.0,13763722.0,1080
176,0.242091,31533712.0,14653196.0,1112
177,0.243466,32451792.0,14001413.0,1084
178,0.244842,29229992.0,12653144.0,1152
179,0.246217,29492558.0,14892728.0,1136
180,0.247593,31007050.0,14831138.0,1108
181,0.248968,29724398.0,12315200.0,1144
182,0.250344,31611028.0,11500362.0,1168
183,0.251719,27784038.0,9929816.0,1176
184,0.253095,25135382.0,10588090.0,1116
185,0.25447,26134202.0,11699760.0,1168
186,0.255846,27797818.0,11787170.0,1200
187,0.257221,26066024.0,12498719.0,1172
188,0.258597,25136536.0,11670110.0,1184
189,0.259972,24414692.0,10575200.0,1168
190,0.261348,24454360.0,10267280.0,1192
191,0.262724,24417776.0,11109392.0,1228
192,0.264099,24618330.0,11158710.0,1176
193,0.265475,23594762.0,9968444.0,1248
194,0.26685,22628242.0,10114764.0,1196
195,0.268226,20780950.0,8889296.0,1248
196,0.269601,20701440.0,10370458.0,1248
197,0.270977,22952408.0,11346132.0,1224
198,0.272352,22866996.0,10117306.0,1260
199,0.273728,23316404.0,9735296.0,1232
200,0.275103,19772820.0,9919069.0,1296
201,0.276479,19372798.0,10154886.0,1236
202,0.277854,18399134.0,10136744.0,1240
203,0.27923,20272332.0,10567399.0,1328
204,0.280605,19782512.0,9237230.0,1268
205,0.281981,18435760.0,8984706.0,1320
206,0.283356,18866584.0,9439984.0,1264
207,0.284732,18655916.0,9451871.0,1304
208,0.286107,17575592.0,9325764.0,1324
209,0.287483,17297558.0,8402485.0,1304
210,0.288858,16824188.0,7509844.5,1312
211,0.290234,17415140.0,7259098.0,1348
212,0.291609,16139163.0,7549115.0,1336
213,0.292985,16878556.0,8372583.0,1344
214,0.29436,16261048.0,7534401.0,1344
215,0.295736,16672227.0,7642571.0,1324
216,0.297111,18065088.0,8493003.0,1384
217,0.298487,15664610.0,8700801.0,1376
218,0.299862,15151605.0,7689664.0,1356
219,0.301238,15316498.0,7563675.5,1384
220,0.302613,16394202.0,7663575.5,1384
221,0.303989,15555918.0,6549750.0,1396
222,0.305365,14583549.0,7335820.0,1424
223,0.30674,15109004.0,7731859.5,1376
224,0.308116,15719586.0,7871803.0,1432
225,0.309491,14136531.0,7544629.0,1396
226,0.310867,13641604.0,6225228.0,1424
227,0.312242,13695178.0,5509151.0,1416
228,0.313618,14101084.0,6290844.0,1452
229,0.314993,13977334.0,6834991.0,1496
230,0.316369,14572547.0,7323333.0,1400
231,0.317744,15360663.0,7193258.0,1440
232,0.31912,14354734.0,6632055.0,1452
233,0.320495,14327219.0,6704623.0,1472
234,0.321871,12737739.0,6567893.0,1512
235,0.323246,12748105.0,6558254.5,1444
236,0.324622,12820184.0,6935999.5,1480
237,0.325997,14801924.0,7468182.0,1520
238,0.327373,15069841.0,7280518.0,1452
239,0.328748,14132733.0,6739461.0,1536
240,0.330124,13163411.0,6796454.0,1464
241,0.331499,12779115.0,6683428.5,1568
242,0.332875,12312563.0,5447434.0,1548
243,0.33425,11793042.0,5787260.0,1512
244,0.335626,12122529.0,6326608.0,1552
245,0.337001,12691076.0,6503278.0,1492
246,0.338377,11791662.0,6441638.5,1616
247,0.339752,10791827.0,5787459.0,1544
248,0.341128,10637937.0,5227369.5,1528
249,0.342503,11025793.0,6132191.5,1564
250,0.343879,10496559.0,5476134.0,1552
251,0.345254,10490318.0,5892621.5,1600
252,0.34663,10234784.0,5580560.0,1580
253,0.348006,9951877.0,5063899.5,1592
254,0.349381,11079785.0,5016116.5,1616
255,0.350757,10708803.0,5193142.0,1624
256,0.352132,9968567.0,4816545.5,1596
257,0.353508,9880079.0,5486779.5,1592
258,0.354883,10652169.0,5909666.5,1656
259,0.356259,9728234.0,5046997.0,1620
260,0.357634,9024651.0,5043745.0,1640
261,0.35901,9650341.0,4794248.0,1640
262,0.360385,10781071.0,4953788.0,1644
263,0.361761,10480501.0,5211093.0,1656
264,0.363136,10132684.0,5269207.5,1640
265,0.364512,9510422.0,4978057.0,1704
266,0.365887,9055931.0,4237294.0,1668
267,0.367263,8826897.0,4303360.0,1664
268,0.368638,8704341.0,4421537.0,1712
269,0.370014,8513397.0,4468333.5,1676
270,0.371389,8159578.0,4214954.5,1688
271,0.372765,9012606.0,4491320.5,1728
272,0.37414,8690128.0,4593842.0,1728
273,0.375516,8265134.5,4429865.5,1708
274,0.376891,8501664.0,4183903.25,1688
275,0.378267,8381123.0,4100082.0,1768
276,0.379642,7447083.0,3748889.0,1724
277,0.381018,6887829.0,3489096.0,1760
278,0.382393,7172168.5,4131142.25,1736
279,0.383769,8272172.5,4357894.0,1748
280,0.385144,7897136.0,3884320.75,1784
281,0.38652,7200195.0,3617228.0,1744
282,0.387895,6941851.5,3431681.5,1776
283,0.389271,6884621.5,3572449.25,1772
284,0.390646,6621573.0,3560354.75,1816
285,0.392022,6682302.0,3680864.0,1800
286,0.393398,6954684.0,3489075.25,1764
287,0.394773,6876403.5,3421332.0,1816
288,0.396149,7146646.0,3555469.25,1808
289,0.397524,6383872.0,3484357.0,1832
290,0.3989,6339890.0,3561062.5,1860
291,0.400275,6118296.0,3605791.5,1752
292,0.401651,6433497.5,3548709.5,1904
293,0.403026,6808977.5,3829709.25,1836
294,0.404402,7064249.5,3850284.0,1848
295,0.405777,6730717.0,3259135.5,1840
296,0.407153,6602318.5,3306058.0,1888
297,0.408528,6423313.0,3297102.75,1892
298,0.409904,6650774.5,3612349.5,1832
299,0.411279,6885277.5,3559037.5,1872
300,0.412655,6750457.0,3325169.25,1884
301,0.41403,6390185.0,3485295.75,1888
302,0.415406,6283872.5,3815896.0,1952
303,0.416781,6555724.0,3378442.5,1868
304,0.418157,6634761.0,3625894.5,1896
305,0.419532,6868094.0,3325041.0,1960
306,0.420908,6026480.0,3353515.5,1896
307,0.422283,5807834.5,3196494.5,1940
308,0.423659,5502507.0,2963308.25,1896
309,0.425034,5837446.5,3092535.0,2024
310,0.42641,6139417.5,3321952.0,1924
311,0.427785,5953582.5,3301235.75,1960
312,0.429161,5689645.5,3047432.75,1936
313,0.430536,5446809.5,2865336.5,1968
314,0.431912,5496243.5,2853838.5,2028
315,0.433287,5563567.5,3021129.75,1976
316,0.434663,5640331.5,3072409.5,1968
317,0.436039,5964466.5,3154608.5,1996
318,0.437414,5219435.5,2897068.5,2016
319,0.43879,5168309.0,2944519.5,1992
320,0.440165,5532234.0,3343622.0,1988
321,0.441541,5582473.0,3190272.0,2016
322,0.442916,5740883.5,3157558.5,2056
323,0.444292,5009562.0,2944627.5,2040
324,0.445667,4814924.5,2646422.25,1996
325,0.447043,4845696.0,2603380.0,2064
326,0.448418,5057736.5,2803822.5,2064
327,0.449794,4823257.0,2759511.5,2084
328,0.451169,4355569.0,2430096.0,2080
329,0.452545,4369816.0,2611015.5,2032
330,0.45392,4711198.5,2772974.75,2088
331,0.455296,4533879.0,2571953.0,2052
332,0.456671,4312471.0,2415289.5,2064
333,0.458047,4238890.5,2508822.0,2160
334,0.459422,4366076.0,2481898.5,2076
335,0.460798,4249996.0,2316461.5,2120
336,0.462173,4079724.75,2344264.5,2088
337,0.463549,4123689.0,2279242.0,2072
338,0.464924,4475249.0,2641237.5,2204
339,0.4663,4380878.5,2370689.5,2120
340,0.467675,4372212.5,2465293.0,2176
341,0.469051,4048851.75,2495636.5,2124
342,0.470426,4030764.5,2378957.75,2112
343,0.471802,4234568.0,2209385.0,2224
344,0.473177,4210455.0,2181664.75,2108
345,0.474553,4148904.75,2340805.25,2216
346,0.475928,3784141.75,2171046.25,2152
347,0.477304,3983305.0,2196512.0,2192
348,0.47868,3865396.5,2430382.5,2180
349,0.480055,3809548.25,2290622.5,2152
350,0.481431,3934496.25,2310294.5,2224
351,0.482806,4008134.0,2332109.0,2228
352,0.484182,3861801.75,2061838.75,2224
353,0.485557,3865892.75,2053800.5,2232
354,0.486933,3967560.75,2285348.5,2184
355,0.488308,3927660.5,2451724.0,2276
356,0.489684,3650487.75,2123086.5,2200
357,0.491059,3610426.0,2170453.25,2296
358,0.492435,3684414.75,2046383.75,2228
359,0.49381,3769503.25,2089526.0,2224
360,0.495186,3809179.0,2114475.0,2312
361,0.496561,3630420.0,2257527.0,2228
362,0.497937,3617954.25,2141262.5,2304
363,0.499312,3836105.25,2043675.75,2240
364,0.500688,3758809.0,2061419.0,2336
365,0.502063,3610633.0,2160349.75,2308
366,0.503439,3688058.75,2271009.5,2304
367,0.504814,3674176.0,2062752.5,2288
368,0.50619,3593467.25,2027595.75,2316
369,0.507565,3277526.25,1824789.75,2352
370,0.508941,3272194.25,1925849.25,2320
371,0.510316,3184466.5,1827739.125,2312
372,0.511692,3281016.0,1872497.5,2332
373,0.513067,3362016.75,1923558.375,2344
374,0.514443,3109891.0,1699127.5,2400
375,0.515818,3334016.75,1918115.25,2332
376,0.517194,3537138.5,2176043.75,2344
377,0.518569,3430110.25,1980346.25,2400
378,0.519945,3243556.5,1935347.625,2356
379,0.52132,2980133.5,1801745.5,2400
380,0.522696,2972895.0,1887506.625,2336
381,0.524072,3206704.75,1898571.125,2440
382,0.525447,3023767.75,1700579.0,2420
383,0.526823,3052813.5,1775946.25,2400
384,0.528198,3081053.75,1862097.25,2416
385,0.529574,3080946.5,1806951.5,2412
386,0.530949,2761031.5,1654339.5,2464
387,0.532325,2713532.25,1548851.875,2400
388,0.5337,2758086.75,1580094.25,2448
389,0.535076,2871299.75,1744500.25,2460
390,0.536451,2858951.25,1779217.0,2432
391,0.537827,2985931.0,1710662.75,2488
392,0.539202,2744831.5,1583101.375,2420
393,0.540578,2677995.5,1616566.75,2488
394,0.541953,2842713.25,1674811.5,2528
395,0.543329,2858845.25,1730586.75,2440
396,0.544704,2739597.75,1622004.625,2508
397,0.54608,2511154.0,1625689.0,2440
398,0.547455,2499622.25,1530458.625,2576
399,0.548831,2431164.0,1469208.5,2500
400,0.550206,2600104.5,1580926.375,2496
401,0.551582,2527645.25,1511941.625,2560
402,0.552957,2465997.0,1449155.25,2492
403,0.554333,2555469.25,1501726.0,2568
404,0.555708,2440751.75,1424503.75,2512
405,0.557084,2388819.25,1402269.375,2528
406,0.558459,2414440.5,1446352.25,2604
407,0.559835,2284706.75,1416750.625,2520
408,0.56121,2331731.0,1340454.0,2600
409,0.562586,2372908.25,1431668.25,2524
410,0.563961,2473933.25,1448505.75,2584
411,0.565337,2512530.5,1419137.375,2616
412,0.566713,2338528.5,1460509.75,2584
413,0.568088,2181388.25,1281325.875,2588
414,0.569464,2243948.75,1356378.0,2584
415,0.570839,2256628.5,1291674.125,2680
416,0.572215,2220390.75,1270796.25,2588
417,0.57359,2152306.5,1240246.25,2600
418,0.574966,2077128.875,1191952.5,2592
419,0.576341,2402122.25,1424804.0,2676
420,0.577717,2442015.25,1440177.5,2656
421,0.579092,2366411.75,1372210.25,2648
422,0.580468,2222428.25,1286080.625,2672
423,0.581843,2190329.0,1286997.0,2644
424,0.583219,2114030.0,1298580.0,2672
425,0.584594,2178288.5,1327734.0,2688
426,0.58597,2367280.25,1368187.25,2652
427,0.587345,2230339.25,1365124.625,2712
428,0.588721,2123302.75,1253837.5,2696
429,0.590096,1816518.25,1067990.25,2680
430,0.591472,1941271.125,1081737.375,2660
431,0.592847,2094924.375,1211600.5,2680
432,0.594223,2211028.0,1292433.5,2800
433,0.595598,2114760.75,1233342.5,2700
434,0.596974,2123731.5,1219043.125,2760
435,0.598349,2080412.875,1262878.25,2696
436,0.599725,2025352.25,1178611.0,2736
437,0.6011,1976943.625,1268014.75,2780
438,0.602476,2084974.875,1252569.875,2744
439,0.603851,1999015.5,1164385.25,2800
440,0.605227,2182762.25,1231901.25,2756
441,0.606602,2202064.25,1223256.875,2768
442,0.607978,1990495.25,1092171.75,2768
443,0.609354,1937620.0,1113082.375,2724
444,0.610729,1908202.25,1155840.5,2864
445,0.612105,1870304.0,1137166.375,2784
446,0.61348,1934650.5,1179170.75,2824
447,0.614856,1903378.625,1162562.75,2804
448,0.616231,1902223.75,1221519.25,2728
449,0.617607,2023572.5,1230305.75,2904
450,0.618982,2064702.125,1267104.75,2852
451,0.620358,2030194.0,1225956.75,2848
452,0.621733,1893204.0,1181619.0,2824
453,0.623109,1831378.75,1150996.5,2832
454,0.624484,1784315.5,1120912.625,2876
455,0.62586,1815365.25,1161354.625,2816
456,0.627235,1829079.875,1150499.625,2912
457,0.628611,1876897.25,1113129.125,2892
458,0.629986,1718847.875,1074272.75,2872
459,0.631362,1644657.5,1051877.5,2888
460,0.632737,1817518.25,1170511.25,2836
461,0.634113,1933462.875,1248117.75,2936
462,0.635488,1928855.125,1212731.25,2880
463,0.636864,1942100.125,1253113.375,2944
464,0.638239,1868632.875,1117738.125,2855
465,0.639615,1841791.625,1109515.0,2772
466,0.64099,1759762.5,1134110.5,2776
467,0.642366,1710013.875,1120987.25,2656
468,0.643741,1755600.625,1130682.0,2692
469,0.645117,1736451.625,1093843.75,2662
470,0.646492,1758202.25,1031798.25,2674
471,0.647868,1694018.25,1093280.625,2634
472,0.649243,1751312.75,1112948.0,2568
473,0.650619,1716798.25,1042171.0,2584
474,0.651994,1707356.25,1053115.75,2620
475,0.65337,1678824.0,1000866.0625,2596
476,0.654746,1585687.375,982663.3125,2518
477,0.656121,1772355.125,1109700.0,2494
478,0.657497,1758298.875,1030754.125,2590
479,0.658872,1731825.625,1101657.75,2502
480,0.660248,1641728.0,1041631.8125,2534
481,0.661623,1545522.75,951113.0625,2494
482,0.662999,1581251.25,847090.25,2518
483,0.664374,1733995.5,951340.625,2504
484,0.66575,1682210.0,918110.0625,2418
485,0.667125,1675284.625,1061008.875,2508
486,0.668501,1594783.25,963845.0,2396
487,0.669876,1573950.0,980023.125,2550
488,0.671252,1620138.25,986570.1875,2464
489,0.672627,1639629.875,1056762.25,2380
490,0.674003,1577732.375,879743.3125,2428
491,0.675378,1563158.25,862375.25,2420
492,0.676754,1494457.875,871988.0,2444
493,0.678129,1446403.375,873886.0,2424
494,0.679505,1496529.75,911810.5,2372
495,0.68088,1472444.5,822408.6875,2464
496,0.682256,1432816.0,858184.875,2336
497,0.683631,1518814.125,958986.875,2430
498,0.685007,1550663.0,919426.75,2376
499,0.686382,1434896.875,854874.375,2368
500,0.687758,1396616.125,893944.75,2414
501,0.689133,1466127.125,883870.5,2312
502,0.690509,1423109.875,865084.25,2380
503,0.691884,1432282.375,878167.4375,2330
504,0.69326,1369840.625,865967.4375,2396
505,0.694635,1439517.5,800616.5625,2366
506,0.696011,1526565.25,881481.625,2312
507,0.697387,1476997.75,941374.5,2382
508,0.698762,1436961.375,834744.1875,2320
509,0.700138,1448570.0,815127.9375,2338
510,0.701513,1327758.0,789924.6875,2308
