radius,normalised_radius,mean_power,median_power,pixel_count
637,0.876204,188031.28125,143666.765625,846
638,0.877579,181422.703125,115765.03125,764
639,0.878955,190462.953125,125544.546875,810
640,0.88033,189904.890625,128031.7734375,784
641,0.881706,179966.84375,117589.1953125,718
642,0.883081,178844.6875,130877.953125,808
643,0.884457,166042.78125,115997.859375,712
644,0.885832,174818.828125,130075.203125,768
645,0.887208,166240.671875,126613.5859375,722
646,0.888583,169260.765625,118985.984375,674
647,0.889959,162270.453125,113503.78125,756
648,0.891334,177983.90625,116647.1796875,662
649,0.89271,202705.09375,135143.203125,714
650,0.894085,182646.140625,131971.5,678
651,0.895461,164010.765625,117251.15625,660
652,0.896836,158681.6875,101363.2265625,678
653,0.898212,180299.703125,115412.4765625,610
654,0.899587,183300.640625,126133.765625,672
655,0.900963,202697.921875,127887.828125,622
656,0.902338,198776.0,132670.90625,612
657,0.903714,214612.59375,145807.90625,626
658,0.905089,221486.09375,159872.4375,570
659,0.906465,217526.515625,144893.5,612
660,0.90784,229584.109375,162354.625,586
661,0.909216,233352.46875,150049.84375,560
662,0.910591,230172.78125,159767.65625,572
663,0.911967,218915.296875,149560.625,534
664,0.913343,195438.5,131075.9375,556
665,0.914718,212233.3125,142956.9375,542
666,0.916094,206804.78125,104176.3125,508
667,0.917469,249822.171875,137493.890625,534
668,0.918845,260297.453125,160785.671875,494
669,0.92022,276191.65625,216950.1875,502
670,0.921596,302238.96875,219119.1875,494
671,0.922971,289983.03125,193948.609375,460
672,0.924347,263237.78125,173775.40625,486
673,0.925722,250343.484375,161184.0,450
674,0.927098,245466.328125,160334.890625,462
675,0.928473,249138.9375,180278.0625,442
676,0.929849,217097.71875,134387.984375,422
677,0.931224,229484.84375,154665.5625,444
678,0.9326,245205.875,167423.28125,396
679,0.933975,254396.578125,167183.1875,416
680,0.935351,294061.75,204003.953125,398
681,0.936726,278154.5,168482.890625,382
682,0.938102,288872.21875,189171.4375,388
683,0.939477,295878.28125,192084.828125,368
684,0.940853,335984.90625,194400.09375,358
685,0.942228,333196.875,218272.53125,360
686,0.943604,381881.375,249340.8125,336
687,0.944979,388270.78125,309066.84375,342
688,0.946355,300979.0625,220346.40625,328
689,0.94773,356971.40625,232144.609375,318
690,0.949106,386095.75,289343.78125,302
691,0.950481,341404.59375,230426.75,298
692,0.951857,313578.96875,224102.671875,302
693,0.953232,356415.71875,244479.3125,278
694,0.954608,406390.21875,299758.0625,278
695,0.955983,445623.1875,341196.9375,262
696,0.957359,360847.875,259607.703125,250
697,0.958735,349641.59375,233025.0,262
698,0.96011,410918.9375,280966.84375,238
699,0.961486,407067.53125,263574.6875,234
700,0.962861,387904.5,242879.296875,218
701,0.964237,437712.375,341776.34375,214
702,0.965612,415097.375,324523.6875,210
703,0.966988,340808.84375,271988.9375,198
704,0.968363,269074.28125,181077.15625,190
705,0.969739,369098.5625,246878.09375,174
706,0.971114,246479.171875,187629.65625,174
707,0.97249,304092.8125,217605.875,170
708,0.973865,429337.75,336601.59375,150
709,0.975241,365173.5,268278.59375,150
710,0.976616,370227.46875,268716.9375,138
711,0.977992,481976.46875,323639.53125,126
712,0.979367,493795.21875,258820.96875,126
713,0.980743,374833.4375,213054.140625,112
714,0.982118,416567.5625,218334.6875,106
715,0.983494,436333.875,234358.0,100
716,0.984869,480714.46875,344083.0,84
717,0.986245,407657.3125,301242.125,78
718,0.98762,520285.03125,361728.3125,74
719,0.988996,499684.75,324301.59375,66
720,0.990371,552431.9375,426336.875,54
721,0.991747,888785.125,527044.375,42
722,0.993122,791447.25,671977.9375,42
723,0.994498,959458.375,433908.03125,32
724,0.995873,890866.125,900875.625,20
725,0.997249,1189593.125,1033550.1875,18
726,0.998624,322274.3125,322274.3125,4
727,1.0,179579.703125,179579.703125,1
